ID,Length,ATYPE,AB LINKCLASS,BA LINKCLASS,AM_AB_VHT,AM_BA_VHT,AM_AB_Spd,AM_BA_Spd,MD_AB_VHT,MD_BA_VHT,MD_AB_Spd,MD_BA_Spd,PM_AB_VHT,PM_BA_VHT,PM_AB_Spd,PM_BA_Spd,NT_AB_VHT,NT_BA_VHT,NT_AB_Spd,NT_BA_Spd
9022,0.179847,2,3,3,13.612364,21.761994,26.550407,22.842656,55.477347,54.361764,26.622653,26.763918,24.011781,16.285101,22.489496,25.657774,35.722437,22.7246,30.854639,31.690333
9025,0.181352,1,3,3,56.755264,16.757374,8.863633,22.35853,124.055766,67.188333,11.980484,22.517914,39.289663,27.216386,10.937909,19.533012,43.551813,42.206024,16.901491,26.313917
9026,0.3732,2,3,3,10.546732,18.859473,37.374777,31.509625,46.123837,56.11197,37.144275,33.145038,21.347649,20.588571,33.818596,31.325183,23.114722,24.405792,39.313194,35.497956
9027,0.180262,2,4,4,3.427755,2.619142,19.720767,17.28713,6.969334,9.452521,20.513345,17.462089,3.250519,6.069074,19.918562,15.127589,1.141,1.110572,20.770885,18.028599
9028,0.118724,2,3,3,6.551043,5.216126,30.988473,25.561371,19.478009,21.746461,32.72686,25.524905,7.129253,10.190988,30.81611,22.950658,7.876606,10.579367,35.416447,27.097483
9029,0.180224,2,4,4,1.710316,6.071152,38.341252,15.984036,5.608013,13.395947,38.772964,18.632816,2.74766,5.339248,37.036256,16.920901,0.912636,2.392485,39.637423,20.312919
9032,0.373061,2,3,3,14.592338,17.229032,26.002321,34.905288,67.16724,51.197489,25.554832,36.697914,34.048899,18.058398,21.501425,34.970567,32.993034,21.958097,27.899496,39.343594
9035,0.07505,1,3,3,7.666145,8.496583,18.391487,18.08877,30.899922,29.643408,18.44981,18.558921,12.398808,11.279167,16.912361,17.295378,15.234761,14.492336,19.932071,19.951028
9036,0.143332,1,3,3,14.099509,15.688575,20.832095,20.43879,54.156319,56.892279,21.065018,20.901836,21.485981,22.584388,19.316264,19.071718,26.738917,25.849863,22.891849,22.90886
9039,0.089304,1,3,3,13.830608,18.318969,17.540023,10.148169,56.355826,100.327351,17.586675,9.177878,19.952443,44.195737,16.023131,7.212118,24.18669,50.848359,20.649161,12.03752
9040,0.124578,1,3,3,14.434531,26.259486,23.382958,11.387012,41.344561,89.737321,25.070114,12.106082,16.132916,35.132474,23.086083,10.41298,21.542073,36.708192,27.331563,14.718068
9043,0.200617,1,3,3,7.048289,15.16204,21.421699,21.639641,37.345687,33.671151,21.015802,23.648969,14.499613,11.923477,19.955433,22.780234,18.389186,9.924255,22.027083,24.925046
9044,0.217165,1,3,3,16.500386,6.631097,19.725702,24.165304,37.600193,32.837788,21.3165,23.861218,13.664814,12.806314,20.527491,22.805781,10.448018,15.676203,22.31656,24.857861
9045,0.090265,1,3,3,8.058623,9.348106,17.07298,16.531288,30.58518,32.648609,17.340263,17.127904,13.658093,11.184217,15.136072,16.034785,20.581005,16.439246,18.965138,19.139705
9046,0.091133,1,4,4,11.762177,2.024598,7.976107,10.372919,24.146472,29.87252,10.42517,7.643639,5.747279,10.993448,10.658687,6.511804,7.34731,22.451542,12.713965,9.605954
9047,0.180987,1,4,4,1.959043,9.663432,16.0693,11.176751,10.822494,10.720357,15.930832,14.153518,7.404966,4.792922,14.410321,13.437846,2.921002,2.317211,16.232854,14.516279
9048,0.133677,1,3,3,8.517026,11.865785,22.335169,18.154005,29.775538,35.916355,22.898868,19.175061,10.13992,16.34681,21.869347,17.031741,17.154308,17.593651,24.60716,20.748664
9050,0.178463,1,4,4,7.780152,2.122004,14.00145,15.973768,9.429493,11.03477,15.939601,15.851018,4.247096,7.58023,15.463471,14.254544,1.530937,2.225104,16.177588,16.174873
9051,0.270529,1,4,4,2.764605,2.034405,16.171574,17.724378,7.274034,5.786813,16.313336,17.779792,2.640705,4.657784,16.216623,17.347376,3.736756,4.989688,16.394866,17.815138
9052,0.180222,2,4,4,1.780814,6.06644,20.483101,18.013436,9.076305,7.522802,20.326348,20.467572,6.36319,3.551017,18.051656,19.761008,1.630967,1.160286,20.766664,20.76922
9054,0.179577,1,3,3,30.317964,11.018161,11.475815,20.054963,58.178443,35.565518,14.446146,20.645335,23.817511,17.855893,12.786102,18.539844,14.483854,14.748794,16.257549,21.768419
9055,0.178993,1,3,3,9.379035,19.319825,20.451536,17.905677,34.226193,39.559711,20.707996,20.395201,17.625467,15.119432,18.575477,19.188685,14.217841,9.984795,21.766325,21.81592
9057,0.090783,1,3,3,6.967671,6.818546,17.570158,11.28372,16.080117,24.4771,18.764318,11.482546,6.039982,13.964863,18.091436,9.723136,4.510886,10.918374,19.472154,12.122946
