model_id,model_name,r-squared,variable_name,Coefficient,StdError,t-Statistic,p
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,HH_EMP_Growth,97270526.14009002,9593093.188270522,10.139641534914173,0.0
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Heavy_Medium_Truck_Travel,27539059.65040545,9479835.347314175,2.9050145536765903,0.0044785990507509865
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Incentives_Special_AreaPop,10289745.30311068,19000302.512073487,0.54155691976863,0.5892710638717422
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Road_User_Fee,-221205122.348008,95786458.3379372,-2.309356940284715,0.022881250579783963
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Roadway_Capacity_Improvement==All,1416884.949383277,,,
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Roadway_Capacity_Improvement==High,1206276.6721076448,,,
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Roadway_Capacity_Improvement==High and Medium,-2623161.6214913996,,,
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Teleworking,-87624638.98402676,30679609.571522474,-2.856119755362271,0.005170063525241186
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Transit_Headways,-8427774.98948495,6288272.102138368,-1.3402370082902473,0.1830612214288827
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Transit_Service_Expansion==Expansion,768298.5188670885,167554635865814.0,4.585361156359647e-09,0.9999999963501116
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,Transit_Service_Expansion==No Expansion,-768298.5188668116,167554635865815.8,-4.5853611563579454e-09,0.9999999963501116
17,Particulate Matter 10 Micrometers or Smaller Emissions (PM10),0.6885737396108387,_Intercept_,372693477.840802,,,
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,AV_Rates,-7898077.839233735,1602620.2670226942,-4.928227853942329,3.112100485980207e-06
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,EV_Rates,-1810137.687124302,1664736.6877279317,-1.0873417402693375,0.2793755277321779
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Ecommerce,31041307.7498825,8119791.782917369,3.822919180660275,0.00022392800624437825
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,HH_EMP_Distribution,1650204.4957106148,1607172.145429338,1.026775196673024,0.30688592590706754
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,HH_EMP_Growth,14729282.953753905,1631110.0091156522,9.030220445854392,9.103828801926284e-15
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Heavy_Medium_Truck_Travel,4253027.526526886,1611852.8212233668,2.6385954539564698,0.00959148001050969
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Incentives_Special_AreaPop,1943132.8898361,3230614.255010235,0.6014747464271136,0.5488202393822954
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Road_User_Fee,-44796277.02733913,16286535.308943035,-2.7505099259964285,0.007008913417700269
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Roadway_Capacity_Improvement==All,268744.1574190995,,,
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Roadway_Capacity_Improvement==High,55443.08470944129,,,
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Roadway_Capacity_Improvement==High and Medium,-324187.2421286277,,,
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Teleworking,-13937833.295085166,5216442.420162958,-2.671903985983182,0.008744830425950312
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Transit_Headways,-1847256.686190602,1069192.5288896062,-1.7277119286542737,0.08697998004245733
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Transit_Service_Expansion==Expansion,33782.071486324974,28489251409401.68,1.185783052031217e-09,0.9999999990561319
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,Transit_Service_Expansion==No Expansion,-33782.071486287765,28489251409401.99,-1.185783052029898e-09,0.9999999990561319
18,Particulate Matter 2.5 Micrometers or Smaller Emissions (PM2.5),0.6224633731250604,_Intercept_,79847473.57100081,,,
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,AV_Rates,0.000242231858258711,0.002109974362577375,0.11480322346799514,0.9088203448582854
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,EV_Rates,0.0038787013186002625,0.002191755466860181,1.7696779486795264,0.07968375899685465
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Ecommerce,-0.019587167036282705,0.01069033809440741,-1.832230829680646,0.06975127518737434
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,HH_EMP_Distribution,0.044512144843336425,0.002115967264911894,21.036310713053425,0.0
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,HH_EMP_Growth,-0.039479778884484666,0.002147483326272348,-18.38420741222452,0.0
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Heavy_Medium_Truck_Travel,-0.0013244271924662094,0.002122129739035153,-0.6241028378728499,0.5339136765058228
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Incentives_Special_AreaPop,0.0012418041184920714,0.004253355204419161,0.29195871466409834,0.7708942538148034
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Road_User_Fee,-0.003110646348274835,0.02144249181430973,-0.14506925665229511,0.8849342970111094
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Roadway_Capacity_Improvement==All,-0.00046173149076009554,,,
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Roadway_Capacity_Improvement==High,-0.0007270206090435288,,,
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Roadway_Capacity_Improvement==High and Medium,0.0011887520998036466,,,
19,Percentage of Jobs within Quarter Mile,0.8967500159042996,Teleworking,-0.004593219090437415,0.006867852601697477,-0.6687998937691445,0.5050908840718262
