"polProcessID","stateID","countyID","yearID","sourceTypeID","fuelTypeID","IMProgramID","inspectFreq","testStandardsID","begModelYearID","endModelYearID","useIMyn","complianceFactor"
302,4,4019,2055,21,5,210,1,51,1996,2049,"Y",92.769
302,4,4019,2055,31,1,3,1,13,1981,1995,"Y",87.208
302,4,4019,2055,31,1,10,1,51,1996,2049,"Y",87.208
302,4,4019,2055,31,5,203,1,13,1981,1995,"Y",87.208
302,4,4019,2055,31,5,210,1,51,1996,2049,"Y",87.208
302,4,4019,2055,32,1,3,1,13,1981,1995,"Y",67.322
302,4,4019,2055,32,1,10,1,51,1996,2049,"Y",67.322
302,4,4019,2055,32,5,203,1,13,1981,1995,"Y",67.322
302,4,4019,2055,32,5,210,1,51,1996,2049,"Y",67.322
302,4,4019,2055,52,1,3,1,13,1981,2039,"Y",54.025
