sourceTypeID,modelYearID,fuelTypeID,engTechID,fuelEngFraction
31,2008,5,1,0.083218299
31,2008,9,30,0
31,2009,1,1,0.840999081
31,2009,2,1,0.017175142
31,2009,5,1,0.141825777
31,2009,9,30,0
31,2010,1,1,0.794060535
31,2010,2,1,0.013275023
31,2010,5,1,0.192664442
31,2010,9,30,0
31,2011,1,1,0.757255104
31,2011,2,1,0.023411468
31,2011,5,1,0.219331647
31,2011,9,30,1.78141E-06
31,2012,1,1,0.685829089
31,2012,2,1,0.026443885
31,2012,5,1,0.287635498
31,2012,9,30,9.15276E-05
31,2013,1,1,0.693993337
31,2013,2,1,0.020087556
31,2013,5,1,0.285801558
31,2013,9,30,0.00011755
31,2014,1,1,0.743254905
31,2014,2,1,0.022886585
31,2014,5,1,0.233744885
31,2014,9,30,0.000113625
31,2015,1,1,0.803347409
31,2015,2,1,0.032008832
31,2015,5,1,0.164563895
31,2015,9,30,7.98639E-05
31,2016,1,1,0.862080072
31,2016,2,1,0.03000433
31,2016,5,1,0.105902213
31,2016,9,30,0.002013385
31,2017,1,1,0.858053014
31,2017,2,1,0.024937607
31,2017,5,1,0.115329705
31,2017,9,30,0.001679674
31,2018,1,1,0.89480739
31,2018,2,1,0.024782828
31,2018,5,1,0.078298245
31,2018,9,30,0.002111537
31,2019,1,1,0.916651653
31,2019,2,1,0.020846407
31,2019,5,1,0.059828733
31,2019,9,30,0.002673207
31,2020,1,1,0.920981136
31,2020,2,1,0.022395312
31,2020,5,1,0.055623552
31,2020,9,30,0.001
31,2021,1,1,0.919749869
31,2021,2,1,0.024717222
31,2021,5,1,0.051532909
31,2021,9,30,0.004
31,2022,1,1,0.892397852
31,2022,2,1,0.024364712
31,2022,5,1,0.049237436
31,2022,9,30,0.034
31,2023,1,1,0.873004989
31,2023,2,1,0.024257713
31,2023,5,1,0.048142427
31,2023,9,30,0.054594871
31,2024,1,1,0.868330417
31,2024,2,1,0.024284413
31,2024,5,1,0.047915017
31,2024,9,30,0.059470154
31,2025,1,1,0.789560892
31,2025,2,1,0.021729701
31,2025,5,1,0.043470705
31,2025,9,30,0.145238702
31,2026,1,1,0.725290119
31,2026,2,1,0.019313116
31,2026,5,1,0.039873257
31,2026,9,30,0.215523507
31,2027,1,1,0.720223142
31,2027,2,1,0.01871816
31,2027,5,1,0.039687938
31,2027,9,30,0.22137076
31,2028,1,1,0.664459668
31,2028,2,1,0.017638257
31,2028,5,1,0.036597117
31,2028,9,30,0.281304958
31,2029,1,1,0.607333267
31,2029,2,1,0.015843386
31,2029,5,1,0.033492294
31,2029,9,30,0.343331053
31,2030,1,1,0.580466363
31,2030,2,1,0.015052562
31,2030,5,1,0.032125667
31,2030,9,30,0.372355408
31,2031,1,1,0.576611272
31,2031,2,1,0.014741949
31,2031,5,1,0.03213064
31,2031,9,30,0.376516139
31,2032,1,1,0.576012019
31,2032,2,1,0.014584476
31,2032,5,1,0.032309836
31,2032,9,30,0.377093669
31,2033,1,1,0.639199077
31,2033,2,1,0.01603097
31,2033,5,1,0.036082313
31,2033,9,30,0.30868764
31,2034,1,1,0.63902754
31,2034,2,1,0.015919045
31,2034,5,1,0.036249242
31,2034,9,30,0.308804173
31,2035,1,1,0.633524621
31,2035,2,1,0.015772909
31,2035,5,1,0.036097201
31,2035,9,30,0.31460527
31,2036,1,1,0.631998012
31,2036,2,1,0.0159377
31,2036,5,1,0.036168072
31,2036,9,30,0.315896216
31,2037,1,1,0.630612638
31,2037,2,1,0.015962411
31,2037,5,1,0.036263207
31,2037,9,30,0.317161744
31,2038,1,1,0.62923208
31,2038,2,1,0.016004989
31,2038,5,1,0.036332406
31,2038,9,30,0.318430526
31,2039,1,1,0.627789143
31,2039,2,1,0.016110476
31,2039,5,1,0.036390158
31,2039,9,30,0.319710223
31,2040,1,1,0.626424237
31,2040,2,1,0.016135474
31,2040,5,1,0.036464441
31,2040,9,30,0.320975848
31,2041,1,1,0.625170667
31,2041,2,1,0.01610418
31,2041,5,1,0.036493043
31,2041,9,30,0.322232109
31,2042,1,1,0.623842899
31,2042,2,1,0.016154628
31,2042,5,1,0.036500111
31,2042,9,30,0.323502363
31,2043,1,1,0.622649339
31,2043,2,1,0.016075181
31,2043,5,1,0.036524359
31,2043,9,30,0.324751121
31,2044,1,1,0.621312617
31,2044,2,1,0.016154652
31,2044,5,1,0.036506393
31,2044,9,30,0.326026338
31,2045,1,1,0.620055304
31,2045,2,1,0.016153582
31,2045,5,1,0.036502696
31,2045,9,30,0.327288417
31,2046,1,1,0.61863688
31,2046,2,1,0.016309167
31,2046,5,1,0.03647837
