sourceTypeID,yearID,ageID,ageFraction
41,2023,17,0.031737163
41,2023,18,0.019686153
41,2023,19,0.015082437
41,2023,20,0.021675124
41,2023,21,0.02064309
41,2023,22,0.020220705
41,2023,23,0.020900798
41,2023,24,0.017938343
41,2023,25,0.014208101
41,2023,26,0.008280727
41,2023,27,0.007233989
41,2023,28,0.004956296
41,2023,29,0.003727539
41,2023,30,0.024229296
42,2023,0,0.052424848
42,2023,1,0.051020674
42,2023,2,0.061151489
42,2023,3,0.061489339
42,2023,4,0.091880157
42,2023,5,0.082032153
42,2023,6,0.083308856
42,2023,7,0.083681785
42,2023,8,0.064923503
42,2023,9,0.060873136
42,2023,10,0.048527597
42,2023,11,0.042635115
42,2023,12,0.037093736
42,2023,13,0.039317099
42,2023,14,0.038741752
42,2023,15,0.028220644
42,2023,16,0.020098681
42,2023,17,0.018137421
42,2023,18,0.009510029
42,2023,19,0.006140104
42,2023,20,0.005998565
42,2023,21,0.006506377
42,2023,22,0.002836471
42,2023,23,0.001627094
42,2023,24,0.000528134
42,2023,25,0.000436645
42,2023,26,0.000372403
42,2023,27,0.000224169
42,2023,28,9.56408E-05
42,2023,29,8.08E-05
42,2023,30,8.56E-05
43,2023,0,0.052424848
43,2023,1,0.051145237
43,2023,2,0.054175179
43,2023,3,0.063951212
43,2023,4,0.054983372
43,2023,5,0.054436052
43,2023,6,0.054273616
43,2023,7,0.046408098
43,2023,8,0.042921531
43,2023,9,0.037938006
43,2023,10,0.033034852
43,2023,11,0.035078196
43,2023,12,0.038596535
43,2023,13,0.036037834
43,2023,14,0.045678009
43,2023,15,0.046253797
43,2023,16,0.040389041
43,2023,17,0.023487105
43,2023,18,0.020399089
43,2023,19,0.021919455
43,2023,20,0.014981122
43,2023,21,0.017328999
43,2023,22,0.018005308
43,2023,23,0.015492759
43,2023,24,0.013787255
43,2023,25,0.01124478
43,2023,26,0.010102412
43,2023,27,0.008196895
43,2023,28,0.008363729
43,2023,29,0.004556056
43,2023,30,0.024409622
51,2023,0,0.05236694
51,2023,1,0.050639884
51,2023,2,0.04687964
51,2023,3,0.043621483
51,2023,4,0.054525144
51,2023,5,0.048499808
51,2023,6,0.043665626
51,2023,7,0.047894687
51,2023,8,0.037547102
51,2023,9,0.031061686
51,2023,10,0.031237537
51,2023,11,0.028727415
51,2023,12,0.021532719
51,2023,13,0.016859748
51,2023,14,0.027624893
51,2023,15,0.022121802
51,2023,16,0.064588791
51,2023,17,0.050225986
51,2023,18,0.040066618
51,2023,19,0.030417157
51,2023,20,0.030880358
51,2023,21,0.025917208
51,2023,22,0.025433622
51,2023,23,0.028622611
51,2023,24,0.021424132
51,2023,25,0.013072605
